departamento,anio,atributo,conductores
AMAZONAS,2008,MASCULINO MENOR DE 18 AÑOS,8
AMAZONAS,2008,MASCULINO MAYOR DE 18 AÑOS,291
AMAZONAS,2008,FEMENINO MENOR DE 18 AÑOS,0
AMAZONAS,2008,FEMENINO MAYOR DE 18 AÑOS,3
AMAZONAS,2008,LICENCIA PROFESIONAL,273
AMAZONAS,2008,LICENCIA PARTICULAR,16
AMAZONAS,2008,LICENCIA MILITAR,2
AMAZONAS,2008,SIN LICENCIA,8
AMAZONAS,2008,OTROS (NO TIENE LICENCIA O NO CORRESPONDE AL TIPO DE VEHÍCULO),3
AMAZONAS,2009,MASCULINO MENOR DE 18 AÑOS,5
AMAZONAS,2009,MASCULINO MAYOR DE 18 AÑOS,220
AMAZONAS,2009,FEMENINO MENOR DE 18 AÑOS,4
AMAZONAS,2009,FEMENINO MAYOR DE 18 AÑOS,7
AMAZONAS,2009,LICENCIA PROFESIONAL,214
AMAZONAS,2009,LICENCIA PARTICULAR,5
AMAZONAS,2009,LICENCIA MILITAR,6
AMAZONAS,2009,SIN LICENCIA,6
AMAZONAS,2009,OTROS (NO TIENE LICENCIA O NO CORRESPONDE AL TIPO DE VEHÍCULO),5
AMAZONAS,2010,MASCULINO MENOR DE 18 AÑOS,1
AMAZONAS,2010,MASCULINO ENTRE 19 A 25 AÑOS,21
AMAZONAS,2010,MASCULINO ENTRE 26 Y 60 AÑOS,81
AMAZONAS,2010,MASCULINO ENTRE 60 AÑOS A MÁS,0
AMAZONAS,2010,FEMENINO MENOR DE 18 AÑOS,0
AMAZONAS,2010,FEMENINO ENTRE 19 A 25 AÑOS,1
AMAZONAS,2010,FEMENINO ENTRE 26 A 60 AÑOS,9
AMAZONAS,2010,FEMENINO ENTRE 60 AÑOS A MÁS,0
AMAZONAS,2010,LICENCIA PROFESIONAL,79
AMAZONAS,2010,LICENCIA PARTICULAR,17
AMAZONAS,2010,LICENCIA MILITAR,2
AMAZONAS,2010,SIN LICENCIA,10
AMAZONAS,2010,OTROS (NO TIENE LICENCIA O NO CORRESPONDE AL TIPO DE VEHÍCULO),5
AMAZONAS,2011,MASCULINO MENOR DE 18 AÑOS,0
AMAZONAS,2011,MASCULINO ENTRE 19 A 25 AÑOS,35
AMAZONAS,2011,MASCULINO ENTRE 26 Y 60 AÑOS,234
AMAZONAS,2011,MASCULINO ENTRE 60 AÑOS A MÁS,20
AMAZONAS,2011,FEMENINO MENOR DE 18 AÑOS,0
AMAZONAS,2011,FEMENINO ENTRE 19 A 25 AÑOS,15
AMAZONAS,2011,FEMENINO ENTRE 26 A 60 AÑOS,7
AMAZONAS,2011,FEMENINO ENTRE 60 AÑOS A MÁS,0
AMAZONAS,2011,LICENCIA PROFESIONAL,231
AMAZONAS,2011,LICENCIA PARTICULAR,15
AMAZONAS,2011,LICENCIA MILITAR,1
AMAZONAS,2011,SIN LICENCIA,39
AMAZONAS,2011,OTROS (NO TIENE LICENCIA O NO CORRESPONDE AL TIPO DE VEHÍCULO),25
AMAZONAS,2012,MASCULINO MENOR DE 18 AÑOS,14
AMAZONAS,2012,MASCULINO ENTRE 19 A 25 AÑOS,142
AMAZONAS,2012,MASCULINO ENTRE 26 Y 60 AÑOS,306
AMAZONAS,2012,MASCULINO ENTRE 60 AÑOS A MÁS,22
AMAZONAS,2012,FEMENINO MENOR DE 18 AÑOS,5
AMAZONAS,2012,FEMENINO ENTRE 19 A 25 AÑOS,29
AMAZONAS,2012,FEMENINO ENTRE 26 A 60 AÑOS,14
AMAZONAS,2012,FEMENINO ENTRE 60 AÑOS A MÁS,1
AMAZONAS,2012,LICENCIA PROFESIONAL,301
AMAZONAS,2012,LICENCIA PARTICULAR,51
AMAZONAS,2012,LICENCIA MILITAR,2
AMAZONAS,2012,SIN LICENCIA,155
AMAZONAS,2012,OTROS (NO TIENE LICENCIA O NO CORRESPONDE AL TIPO DE VEHÍCULO),24
AMAZONAS,2013,MASCULINO MENOR DE 18 AÑOS,19
AMAZONAS,2013,MASCULINO ENTRE 19 A 25 AÑOS,222
AMAZONAS,2013,MASCULINO ENTRE 26 Y 60 AÑOS,373
AMAZONAS,2013,MASCULINO ENTRE 60 AÑOS A MÁS,40
AMAZONAS,2013,FEMENINO MENOR DE 18 AÑOS,0
AMAZONAS,2013,FEMENINO ENTRE 19 A 25 AÑOS,30
AMAZONAS,2013,FEMENINO ENTRE 26 A 60 AÑOS,9
AMAZONAS,2013,FEMENINO ENTRE 60 AÑOS A MÁS,1
AMAZONAS,2013,LICENCIA PROFESIONAL,330
AMAZONAS,2013,LICENCIA PARTICULAR,134
AMAZONAS,2013,LICENCIA MILITAR,3
AMAZONAS,2013,SIN LICENCIA,209
AMAZONAS,2013,OTROS (NO TIENE LICENCIA O NO CORRESPONDE AL TIPO DE VEHÍCULO),18
AMAZONAS,2014,MASCULINO MENOR DE 18 AÑOS,20
AMAZONAS,2014,MASCULINO ENTRE 19 A 25 AÑOS,272
AMAZONAS,2014,MASCULINO ENTRE 26 Y 60 AÑOS,223
AMAZONAS,2014,MASCULINO ENTRE 60 AÑOS A MÁS,32
AMAZONAS,2014,FEMENINO MENOR DE 18 AÑOS,1
AMAZONAS,2014,FEMENINO ENTRE 19 A 25 AÑOS,24
AMAZONAS,2014,FEMENINO ENTRE 26 A 60 AÑOS,12
AMAZONAS,2014,FEMENINO ENTRE 60 AÑOS A MÁS,0
AMAZONAS,2014,LICENCIA PROFESIONAL,171
AMAZONAS,2014,LICENCIA PARTICULAR,214
AMAZONAS,2014,LICENCIA MILITAR,0
AMAZONAS,2014,SIN LICENCIA,176
AMAZONAS,2014,OTROS (NO TIENE LICENCIA O NO CORRESPONDE AL TIPO DE VEHÍCULO),23
AMAZONAS,2015,MASCULINO MENOR DE 18 AÑOS,20
AMAZONAS,2015,MASCULINO ENTRE 19 A 25 AÑOS,209
AMAZONAS,2015,MASCULINO ENTRE 26 Y 60 AÑOS,247
AMAZONAS,2015,MASCULINO ENTRE 60 AÑOS A MÁS,22
AMAZONAS,2015,FEMENINO MENOR DE 18 AÑOS,4
AMAZONAS,2015,FEMENINO ENTRE 19 A 25 AÑOS,5
AMAZONAS,2015,FEMENINO ENTRE 26 A 60 AÑOS,16
AMAZONAS,2015,FEMENINO ENTRE 60 AÑOS A MÁS,0
AMAZONAS,2015,SE DESCONOCE POR FUGA,0
AMAZONAS,2015,LICENCIA PROFESIONAL,171
AMAZONAS,2015,LICENCIA PARTICULAR,171
AMAZONAS,2015,LICENCIA MILITAR,10
AMAZONAS,2015,SIN LICENCIA,130
AMAZONAS,2015,LICENCIA DE VEHÍCULO MENOR,27
AMAZONAS,2015,LICENCIA EXTRANJERA,6
AMAZONAS,2015,OTROS (NO TIENE LICENCIA O NO CORRESPONDE AL TIPO DE VEHÍCULO),8
AMAZONAS,2016,MASCULINO MENOR DE 18 AÑOS,45
AMAZONAS,2016,MASCULINO ENTRE 19 A 25 AÑOS,185
AMAZONAS,2016,MASCULINO ENTRE 26 Y 60 AÑOS,420
AMAZONAS,2016,MASCULINO ENTRE 60 AÑOS A MÁS,71
AMAZONAS,2016,FEMENINO MENOR DE 18 AÑOS,39
AMAZONAS,2016,FEMENINO ENTRE 19 A 25 AÑOS,39
AMAZONAS,2016,FEMENINO ENTRE 26 A 60 AÑOS,66
AMAZONAS,2016,FEMENINO ENTRE 60 AÑOS A MÁS,23
AMAZONAS,2016,SE DESCONOCE POR FUGA,15
AMAZONAS,2016,LICENCIA PROFESIONAL,206
AMAZONAS,2016,LICENCIA PARTICULAR,240
AMAZONAS,2016,LICENCIA MILITAR,32
AMAZONAS,2016,SIN LICENCIA,247
AMAZONAS,2016,LICENCIA DE VEHÍCULO MENOR,131
AMAZONAS,2016,LICENCIA EXTRANJERA,10
AMAZONAS,2016,OTROS (NO TIENE LICENCIA O NO CORRESPONDE AL TIPO DE VEHÍCULO),37
AMAZONAS,2017,MASCULINO MENOR ENTRE 13 Y 18 AÑOS,20
AMAZONAS,2017,MASCULINO ENTRE 19 A 25 AÑOS,150
AMAZONAS,2017,MASCULINO ENTRE 26 Y 60 AÑOS,357
AMAZONAS,2017,MASCULINO ENTRE 60 AÑOS A MÁS,31
AMAZONAS,2017,FEMENINO MENOR ENTRE 13 Y 18 AÑOS,8
AMAZONAS,2017,FEMENINO ENTRE 19 A 25 AÑOS,16
AMAZONAS,2017,FEMENINO ENTRE 26 A 60 AÑOS,22
AMAZONAS,2017,FEMENINO ENTRE 60 AÑOS A MÁS,6
AMAZONAS,2017,SE DESCONOCE POR FUGA,8
AMAZONAS,2017,LICENCIA PROFESIONAL,129
AMAZONAS,2017,LICENCIA PARTICULAR,165
AMAZONAS,2017,LICENCIA MILITAR,2
AMAZONAS,2017,SIN LICENCIA,150
AMAZONAS,2017,LICENCIA DE VEHÍCULO MENOR,159
AMAZONAS,2017,LICENCIA EXTRANJERA,5
AMAZONAS,2017,OTROS (NO TIENE LICENCIA O NO CORRESPONDE AL TIPO DE VEHÍCULO),8
AMAZONAS,2018,ENTRE 12 Y 17 AÑOS,13
AMAZONAS,2018,ENTRE 18 A 29 AÑOS,225
AMAZONAS,2018,ENTRE 30 Y 59 AÑOS,226
AMAZONAS,2018,ENTRE 60 AÑOS A MÁS,11
AMAZONAS,2018,ENTRE 12 Y 17 AÑOS,2
AMAZONAS,2018,ENTRE 18 A 29 AÑOS,15
AMAZONAS,2018,ENTRE 30 Y 59 AÑOS,14
AMAZONAS,2018,ENTRE 60 AÑOS A MÁS,0
AMAZONAS,2018,LICENCIA PROFESIONAL,111
AMAZONAS,2018,LICENCIA PARTICULAR,79
AMAZONAS,2018,LICENCIA MILITAR,4
AMAZONAS,2018,SIN LICENCIA,81
AMAZONAS,2018,LICENCIA DE VEHÍCULO MENOR,203
AMAZONAS,2018,LICENCIA EXTRANJERA,29
AMAZONAS,2019,ENTRE 12 Y 17 AÑOS,10
AMAZONAS,2019,ENTRE 18 A 29 AÑOS,305
AMAZONAS,2019,ENTRE 30 Y 59 AÑOS,346
AMAZONAS,2019,ENTRE 60 AÑOS A MÁS,35
AMAZONAS,2019,ENTRE 12 Y 17 AÑOS,1
AMAZONAS,2019,ENTRE 18 A 29 AÑOS,10
AMAZONAS,2019,ENTRE 30 Y 59 AÑOS,12
AMAZONAS,2019,ENTRE 60 AÑOS A MÁS,1
AMAZONAS,2019,LICENCIA PROFESIONAL,205
AMAZONAS,2019,LICENCIA PARTICULAR,107
AMAZONAS,2019,LICENCIA MILITAR,2
AMAZONAS,2019,SIN LICENCIA,143
AMAZONAS,2019,LICENCIA DE VEHÍCULO MENOR,259
AMAZONAS,2019,LICENCIA EXTRANJERA,4
AMAZONAS,2020,ENTRE 12 Y 17 AÑOS,10
AMAZONAS,2020,ENTRE 18 A 29 AÑOS,211
AMAZONAS,2020,ENTRE 30 Y 59 AÑOS,295
AMAZONAS,2020,ENTRE 60 AÑOS A MÁS,22
AMAZONAS,2020,ENTRE 12 Y 17 AÑOS,0
AMAZONAS,2020,ENTRE 18 A 29 AÑOS,9
AMAZONAS,2020,ENTRE 30 Y 59 AÑOS,5
AMAZONAS,2020,ENTRE 60 AÑOS A MÁS,0
AMAZONAS,2020,LICENCIA PROFESIONAL,162
AMAZONAS,2020,LICENCIA PARTICULAR,84
AMAZONAS,2020,LICENCIA MILITAR,2
AMAZONAS,2020,SIN LICENCIA,98
AMAZONAS,2020,LICENCIA DE VEHÍCULO MENOR,203
AMAZONAS,2020,LICENCIA EXTRANJERA,3
AMAZONAS,2021,ENTRE 12 Y 17 AÑOS,20
AMAZONAS,2021,ENTRE 18 A 29 AÑOS,303
AMAZONAS,2021,ENTRE 30 Y 59 AÑOS,324
AMAZONAS,2021,ENTRE 60 AÑOS A MÁS,34
AMAZONAS,2021,ENTRE 12 Y 17 AÑOS,0
AMAZONAS,2021,ENTRE 18 A 29 AÑOS,14
AMAZONAS,2021,ENTRE 30 Y 59 AÑOS,12
AMAZONAS,2021,ENTRE 60 AÑOS A MÁS,4
AMAZONAS,2021,LICENCIA PROFESIONAL,167
AMAZONAS,2021,LICENCIA PARTICULAR,88
AMAZONAS,2021,LICENCIA MILITAR,0
AMAZONAS,2021,SIN LICENCIA,144
AMAZONAS,2021,LICENCIA DE VEHÍCULO MENOR,307
AMAZONAS,2021,LICENCIA EXTRANJERA,5
AMAZONAS,2022,ENTRE 12 Y 17 AÑOS,23
AMAZONAS,2022,ENTRE 18 A 29 AÑOS,225
AMAZONAS,2022,ENTRE 30 Y 59 AÑOS,436
AMAZONAS,2022,ENTRE 60 AÑOS A MÁS,55
AMAZONAS,2022,ENTRE 12 Y 17 AÑOS,0
AMAZONAS,2022,ENTRE 18 A 29 AÑOS,11
AMAZONAS,2022,ENTRE 30 Y 59 AÑOS,14
AMAZONAS,2022,ENTRE 60 AÑOS A MÁS,0
AMAZONAS,2022,LICENCIA PROFESIONAL,230
AMAZONAS,2022,LICENCIA PARTICULAR,108
AMAZONAS,2022,LICENCIA MILITAR,1
AMAZONAS,2022,SIN LICENCIA,82
AMAZONAS,2022,LICENCIA DE VEHÍCULO MENOR,335
AMAZONAS,2022,LICENCIA EXTRANJERA,8
AMAZONAS,2023,ENTRE 12 Y 17 AÑOS,24
AMAZONAS,2023,ENTRE 18 A 29 AÑOS,232
AMAZONAS,2023,ENTRE 30 Y 59 AÑOS,397
AMAZONAS,2023,ENTRE 60 AÑOS A MÁS,60
AMAZONAS,2023,ENTRE 12 Y 17 AÑOS,3
AMAZONAS,2023,ENTRE 18 A 29 AÑOS,15
AMAZONAS,2023,ENTRE 30 Y 59 AÑOS,34
AMAZONAS,2023,ENTRE 60 AÑOS A MÁS,9
AMAZONAS,2023,LICENCIA PROFESIONAL,162
AMAZONAS,2023,LICENCIA PARTICULAR,100
AMAZONAS,2023,LICENCIA MILITAR,2
AMAZONAS,2023,SIN LICENCIA,359
AMAZONAS,2023,LICENCIA DE VEHÍCULO MENOR,20
AMAZONAS,2023,LICENCIA EXTRANJERA,132
AMAZONAS,2024,ENTRE 12 Y 17 AÑOS,16
AMAZONAS,2024,ENTRE 18 A 29 AÑOS,238
AMAZONAS,2024,ENTRE 30 Y 59 AÑOS,349
AMAZONAS,2024,ENTRE 60 AÑOS A MÁS,35
AMAZONAS,2024,ENTRE 12 Y 17 AÑOS,7
AMAZONAS,2024,ENTRE 18 A 29 AÑOS,21
AMAZONAS,2024,ENTRE 30 Y 59 AÑOS,15
AMAZONAS,2024,ENTRE 60 AÑOS A MÁS,1
AMAZONAS,2024,LICENCIA PROFESIONAL,180
AMAZONAS,2024,LICENCIA PARTICULAR,103
AMAZONAS,2024,LICENCIA MILITAR,0
AMAZONAS,2024,SIN LICENCIA,192
AMAZONAS,2024,LICENCIA DE VEHÍCULO MENOR,5
AMAZONAS,2024,LICENCIA EXTRANJERA,217
ANCASH,2008,MASCULINO MENOR DE 18 AÑOS,160
ANCASH,2008,MASCULINO MAYOR DE 18 AÑOS,1632
ANCASH,2008,FEMENINO MENOR DE 18 AÑOS,0
ANCASH,2008,FEMENINO MAYOR DE 18 AÑOS,177
ANCASH,2008,LICENCIA PROFESIONAL,923
ANCASH,2008,LICENCIA PARTICULAR,366
ANCASH,2008,LICENCIA MILITAR,216
ANCASH,2008,SIN LICENCIA,439
ANCASH,2008,OTROS (NO TIENE LICENCIA O NO CORRESPONDE AL TIPO DE VEHÍCULO),25
ANCASH,2009,MASCULINO MENOR DE 18 AÑOS,85
ANCASH,2009,MASCULINO MAYOR DE 18 AÑOS,2750
ANCASH,2009,FEMENINO MENOR DE 18 AÑOS,3
ANCASH,2009,FEMENINO MAYOR DE 18 AÑOS,69
ANCASH,2009,LICENCIA PROFESIONAL,1730
ANCASH,2009,LICENCIA PARTICULAR,728
ANCASH,2009,LICENCIA MILITAR,108
ANCASH,2009,SIN LICENCIA,217
ANCASH,2009,OTROS (NO TIENE LICENCIA O NO CORRESPONDE AL TIPO DE VEHÍCULO),124
ANCASH,2010,MASCULINO MENOR DE 18 AÑOS,119
ANCASH,2010,MASCULINO ENTRE 19 A 25 AÑOS,754
ANCASH,2010,MASCULINO ENTRE 26 Y 60 AÑOS,1542
ANCASH,2010,MASCULINO ENTRE 60 AÑOS A MÁS,79
ANCASH,2010,FEMENINO MENOR DE 18 AÑOS,2
ANCASH,2010,FEMENINO ENTRE 19 A 25 AÑOS,22
ANCASH,2010,FEMENINO ENTRE 26 A 60 AÑOS,22
ANCASH,2010,FEMENINO ENTRE 60 AÑOS A MÁS,1
ANCASH,2010,LICENCIA PROFESIONAL,1581
ANCASH,2010,LICENCIA PARTICULAR,572
ANCASH,2010,LICENCIA MILITAR,39
ANCASH,2010,SIN LICENCIA,326
ANCASH,2010,OTROS (NO TIENE LICENCIA O NO CORRESPONDE AL TIPO DE VEHÍCULO),23
ANCASH,2011,MASCULINO MENOR DE 18 AÑOS,70
ANCASH,2011,MASCULINO ENTRE 19 A 25 AÑOS,944
ANCASH,2011,MASCULINO ENTRE 26 Y 60 AÑOS,1895
ANCASH,2011,MASCULINO ENTRE 60 AÑOS A MÁS,197
ANCASH,2011,FEMENINO MENOR DE 18 AÑOS,0
ANCASH,2011,FEMENINO ENTRE 19 A 25 AÑOS,24
ANCASH,2011,FEMENINO ENTRE 26 A 60 AÑOS,43
ANCASH,2011,FEMENINO ENTRE 60 AÑOS A MÁS,8
ANCASH,2011,LICENCIA PROFESIONAL,1848
ANCASH,2011,LICENCIA PARTICULAR,796
ANCASH,2011,LICENCIA MILITAR,23
ANCASH,2011,SIN LICENCIA,464
ANCASH,2011,OTROS (NO TIENE LICENCIA O NO CORRESPONDE AL TIPO DE VEHÍCULO),50
ANCASH,2012,MASCULINO MENOR DE 18 AÑOS,61
ANCASH,2012,MASCULINO ENTRE 19 A 25 AÑOS,646
ANCASH,2012,MASCULINO ENTRE 26 Y 60 AÑOS,2090
ANCASH,2012,MASCULINO ENTRE 60 AÑOS A MÁS,192
ANCASH,2012,FEMENINO MENOR DE 18 AÑOS,11
ANCASH,2012,FEMENINO ENTRE 19 A 25 AÑOS,89
ANCASH,2012,FEMENINO ENTRE 26 A 60 AÑOS,102
ANCASH,2012,FEMENINO ENTRE 60 AÑOS A MÁS,18
ANCASH,2012,LICENCIA PROFESIONAL,1841
ANCASH,2012,LICENCIA PARTICULAR,767
ANCASH,2012,LICENCIA MILITAR,12
ANCASH,2012,SIN LICENCIA,522
ANCASH,2012,OTROS (NO TIENE LICENCIA O NO CORRESPONDE AL TIPO DE VEHÍCULO),67
ANCASH,2013,MASCULINO MENOR DE 18 AÑOS,104
ANCASH,2013,MASCULINO ENTRE 19 A 25 AÑOS,707
ANCASH,2013,MASCULINO ENTRE 26 Y 60 AÑOS,2507
ANCASH,2013,MASCULINO ENTRE 60 AÑOS A MÁS,90
ANCASH,2013,FEMENINO MENOR DE 18 AÑOS,8
ANCASH,2013,FEMENINO ENTRE 19 A 25 AÑOS,25
ANCASH,2013,FEMENINO ENTRE 26 A 60 AÑOS,88
ANCASH,2013,FEMENINO ENTRE 60 AÑOS A MÁS,6
ANCASH,2013,LICENCIA PROFESIONAL,1828
ANCASH,2013,LICENCIA PARTICULAR,945
ANCASH,2013,LICENCIA MILITAR,31
ANCASH,2013,SIN LICENCIA,631
ANCASH,2013,OTROS (NO TIENE LICENCIA O NO CORRESPONDE AL TIPO DE VEHÍCULO),100
ANCASH,2014,MASCULINO MENOR DE 18 AÑOS,55
ANCASH,2014,MASCULINO ENTRE 19 A 25 AÑOS,444
ANCASH,2014,MASCULINO ENTRE 26 Y 60 AÑOS,2298
ANCASH,2014,MASCULINO ENTRE 60 AÑOS A MÁS,87
ANCASH,2014,FEMENINO MENOR DE 18 AÑOS,2
ANCASH,2014,FEMENINO ENTRE 19 A 25 AÑOS,20
ANCASH,2014,FEMENINO ENTRE 26 A 60 AÑOS,47
ANCASH,2014,FEMENINO ENTRE 60 AÑOS A MÁS,16
ANCASH,2014,LICENCIA PROFESIONAL,1747
ANCASH,2014,LICENCIA PARTICULAR,669
ANCASH,2014,LICENCIA MILITAR,25
ANCASH,2014,SIN LICENCIA,283
ANCASH,2014,OTROS (NO TIENE LICENCIA O NO CORRESPONDE AL TIPO DE VEHÍCULO),245
ANCASH,2015,MASCULINO MENOR DE 18 AÑOS,105
ANCASH,2015,MASCULINO ENTRE 19 A 25 AÑOS,494
ANCASH,2015,MASCULINO ENTRE 26 Y 60 AÑOS,1303
ANCASH,2015,MASCULINO ENTRE 60 AÑOS A MÁS,109
ANCASH,2015,FEMENINO MENOR DE 18 AÑOS,3
ANCASH,2015,FEMENINO ENTRE 19 A 25 AÑOS,37
ANCASH,2015,FEMENINO ENTRE 26 A 60 AÑOS,53
ANCASH,2015,FEMENINO ENTRE 60 AÑOS A MÁS,3
ANCASH,2015,SE DESCONOCE POR FUGA,24
ANCASH,2015,LICENCIA PROFESIONAL,877
ANCASH,2015,LICENCIA PARTICULAR,693
ANCASH,2015,LICENCIA MILITAR,19
ANCASH,2015,SIN LICENCIA,267
ANCASH,2015,LICENCIA DE VEHÍCULO MENOR,212
ANCASH,2015,LICENCIA EXTRANJERA,12
ANCASH,2015,OTROS (NO TIENE LICENCIA O NO CORRESPONDE AL TIPO DE VEHÍCULO),51
ANCASH,2016,MASCULINO MENOR DE 18 AÑOS,44
ANCASH,2016,MASCULINO ENTRE 19 A 25 AÑOS,525
ANCASH,2016,MASCULINO ENTRE 26 Y 60 AÑOS,815
ANCASH,2016,MASCULINO ENTRE 60 AÑOS A MÁS,82
ANCASH,2016,FEMENINO MENOR DE 18 AÑOS,9
ANCASH,2016,FEMENINO ENTRE 19 A 25 AÑOS,61
ANCASH,2016,FEMENINO ENTRE 26 A 60 AÑOS,106
ANCASH,2016,FEMENINO ENTRE 60 AÑOS A MÁS,45
ANCASH,2016,SE DESCONOCE POR FUGA,62
ANCASH,2016,LICENCIA PROFESIONAL,746
ANCASH,2016,LICENCIA PARTICULAR,581
ANCASH,2016,LICENCIA MILITAR,28
ANCASH,2016,SIN LICENCIA,77
ANCASH,2016,LICENCIA DE VEHÍCULO MENOR,236
ANCASH,2016,LICENCIA EXTRANJERA,3
