departamento,anio,dia_semana,siniestros
AMAZONAS,2008,LUNES,55
AMAZONAS,2008,MARTES,55
AMAZONAS,2008,MIÉRCOLES,46
AMAZONAS,2008,JUEVES,30
AMAZONAS,2008,VIERNES,32
AMAZONAS,2008,SÁBADO,37
AMAZONAS,2008,DOMINGO,16
AMAZONAS,2009,LUNES,47
AMAZONAS,2009,MARTES,48
AMAZONAS,2009,MIÉRCOLES,45
AMAZONAS,2009,JUEVES,11
AMAZONAS,2009,VIERNES,21
AMAZONAS,2009,SÁBADO,26
AMAZONAS,2009,DOMINGO,22
AMAZONAS,2010,LUNES,18
AMAZONAS,2010,MARTES,19
AMAZONAS,2010,MIÉRCOLES,23
AMAZONAS,2010,JUEVES,16
AMAZONAS,2010,VIERNES,6
AMAZONAS,2010,SÁBADO,5
AMAZONAS,2010,DOMINGO,8
AMAZONAS,2011,LUNES,16
AMAZONAS,2011,MARTES,47
AMAZONAS,2011,MIÉRCOLES,55
AMAZONAS,2011,JUEVES,38
AMAZONAS,2011,VIERNES,45
AMAZONAS,2011,SÁBADO,26
AMAZONAS,2011,DOMINGO,12
AMAZONAS,2012,LUNES,39
AMAZONAS,2012,MARTES,56
AMAZONAS,2012,MIÉRCOLES,65
AMAZONAS,2012,JUEVES,61
AMAZONAS,2012,VIERNES,79
AMAZONAS,2012,SÁBADO,102
AMAZONAS,2012,DOMINGO,85
AMAZONAS,2013,LUNES,47
AMAZONAS,2013,MARTES,88
AMAZONAS,2013,MIÉRCOLES,46
AMAZONAS,2013,JUEVES,63
AMAZONAS,2013,VIERNES,67
AMAZONAS,2013,SÁBADO,94
AMAZONAS,2013,DOMINGO,137
AMAZONAS,2014,LUNES,61
AMAZONAS,2014,MARTES,46
AMAZONAS,2014,MIÉRCOLES,45
AMAZONAS,2014,JUEVES,60
AMAZONAS,2014,VIERNES,67
AMAZONAS,2014,SÁBADO,94
AMAZONAS,2014,DOMINGO,90
AMAZONAS,2015,LUNES,53
AMAZONAS,2015,MARTES,40
AMAZONAS,2015,MIÉRCOLES,37
AMAZONAS,2015,JUEVES,52
AMAZONAS,2015,VIERNES,61
AMAZONAS,2015,SÁBADO,71
AMAZONAS,2015,DOMINGO,67
AMAZONAS,2016,LUNES,79
AMAZONAS,2016,MARTES,108
AMAZONAS,2016,MIÉRCOLES,68
AMAZONAS,2016,JUEVES,104
AMAZONAS,2016,VIERNES,90
AMAZONAS,2016,SÁBADO,85
AMAZONAS,2016,DOMINGO,94
AMAZONAS,2017,LUNES,47
AMAZONAS,2017,MARTES,51
AMAZONAS,2017,MIÉRCOLES,54
AMAZONAS,2017,JUEVES,66
AMAZONAS,2017,VIERNES,61
AMAZONAS,2017,SÁBADO,70
AMAZONAS,2017,DOMINGO,74
AMAZONAS,2018,LUNES,39
AMAZONAS,2018,MARTES,36
AMAZONAS,2018,MIÉRCOLES,33
AMAZONAS,2018,JUEVES,54
AMAZONAS,2018,VIERNES,67
AMAZONAS,2018,SÁBADO,60
AMAZONAS,2018,DOMINGO,73
AMAZONAS,2019,LUNES,67
AMAZONAS,2019,MARTES,46
AMAZONAS,2019,MIÉRCOLES,72
AMAZONAS,2019,JUEVES,77
AMAZONAS,2019,VIERNES,78
AMAZONAS,2019,SÁBADO,73
AMAZONAS,2019,DOMINGO,88
AMAZONAS,2020,LUNES,45
AMAZONAS,2020,MARTES,37
AMAZONAS,2020,MIÉRCOLES,48
AMAZONAS,2020,JUEVES,45
AMAZONAS,2020,VIERNES,76
AMAZONAS,2020,SÁBADO,80
AMAZONAS,2020,DOMINGO,56
AMAZONAS,2021,LUNES,75
AMAZONAS,2021,MARTES,60
AMAZONAS,2021,MIÉRCOLES,50
AMAZONAS,2021,JUEVES,63
AMAZONAS,2021,VIERNES,85
AMAZONAS,2021,SÁBADO,77
AMAZONAS,2021,DOMINGO,63
AMAZONAS,2022,LUNES,42
AMAZONAS,2022,MARTES,82
AMAZONAS,2022,MIÉRCOLES,64
AMAZONAS,2022,JUEVES,88
AMAZONAS,2022,VIERNES,78
AMAZONAS,2022,SÁBADO,84
AMAZONAS,2022,DOMINGO,76
AMAZONAS,2023,LUNES,66
AMAZONAS,2023,MARTES,70
AMAZONAS,2023,MIÉRCOLES,71
AMAZONAS,2023,JUEVES,61
AMAZONAS,2023,VIERNES,84
AMAZONAS,2023,SÁBADO,75
AMAZONAS,2023,DOMINGO,87
AMAZONAS,2024,LUNES,66
AMAZONAS,2024,MARTES,52
AMAZONAS,2024,MIÉRCOLES,63
AMAZONAS,2024,JUEVES,68
AMAZONAS,2024,VIERNES,83
AMAZONAS,2024,SÁBADO,87
AMAZONAS,2024,DOMINGO,94
ANCASH,2008,LUNES,139
ANCASH,2008,MARTES,114
ANCASH,2008,MIÉRCOLES,135
ANCASH,2008,JUEVES,144
ANCASH,2008,VIERNES,309
ANCASH,2008,SÁBADO,440
ANCASH,2008,DOMINGO,335
ANCASH,2009,LUNES,197
ANCASH,2009,MARTES,189
ANCASH,2009,MIÉRCOLES,189
ANCASH,2009,JUEVES,314
ANCASH,2009,VIERNES,489
ANCASH,2009,SÁBADO,550
ANCASH,2009,DOMINGO,335
ANCASH,2010,LUNES,230
ANCASH,2010,MARTES,180
ANCASH,2010,MIÉRCOLES,241
ANCASH,2010,JUEVES,229
ANCASH,2010,VIERNES,407
ANCASH,2010,SÁBADO,398
ANCASH,2010,DOMINGO,261
ANCASH,2011,LUNES,264
ANCASH,2011,MARTES,231
ANCASH,2011,MIÉRCOLES,247
ANCASH,2011,JUEVES,241
ANCASH,2011,VIERNES,397
ANCASH,2011,SÁBADO,494
ANCASH,2011,DOMINGO,393
ANCASH,2012,LUNES,247
ANCASH,2012,MARTES,246
ANCASH,2012,MIÉRCOLES,251
ANCASH,2012,JUEVES,255
ANCASH,2012,VIERNES,457
ANCASH,2012,SÁBADO,477
ANCASH,2012,DOMINGO,365
ANCASH,2013,LUNES,243
ANCASH,2013,MARTES,252
ANCASH,2013,MIÉRCOLES,314
ANCASH,2013,JUEVES,312
ANCASH,2013,VIERNES,361
ANCASH,2013,SÁBADO,564
ANCASH,2013,DOMINGO,430
ANCASH,2014,LUNES,237
ANCASH,2014,MARTES,252
ANCASH,2014,MIÉRCOLES,283
ANCASH,2014,JUEVES,392
ANCASH,2014,VIERNES,448
ANCASH,2014,SÁBADO,514
ANCASH,2014,DOMINGO,351
ANCASH,2015,LUNES,210
ANCASH,2015,MARTES,222
ANCASH,2015,MIÉRCOLES,226
ANCASH,2015,JUEVES,185
