departamento,anio,sexo,grupo_etario,heridos
AMAZONAS,2008,MASCULINO,MENOR DE 18 AÑOS,60
AMAZONAS,2008,MASCULINO,MAYOR DE 18 AÑOS,189
AMAZONAS,2008,FEMENINO,MENOR DE 18 AÑOS,10
AMAZONAS,2008,FEMENINO,MAYOR DE 18 AÑOS,75
AMAZONAS,2009,MASCULINO,MENOR DE 18 AÑOS,52
AMAZONAS,2009,MASCULINO,MAYOR DE 18 AÑOS,242
AMAZONAS,2009,FEMENINO,MENOR DE 18 AÑOS,16
AMAZONAS,2009,FEMENINO,MAYOR DE 18 AÑOS,100
AMAZONAS,2010,MASCULINO,DE 0 A 5 AÑOS,0
AMAZONAS,2010,MASCULINO,DE 6 A 12 AÑOS,5
AMAZONAS,2010,MASCULINO,DE 13 A 18 AÑOS,35
AMAZONAS,2010,MASCULINO,DE 19 A 25 AÑOS,69
AMAZONAS,2010,MASCULINO,DE 26 A 60 AÑOS,43
AMAZONAS,2010,MASCULINO,DE 60 A MÁS AÑOS,1
AMAZONAS,2010,FEMENINO,DE 0 A 5 AÑOS,1
AMAZONAS,2010,FEMENINO,DE 6 A 12 AÑOS,1
AMAZONAS,2010,FEMENINO,DE 13 A 18 AÑOS,1
AMAZONAS,2010,FEMENINO,DE 19 A 25 AÑOS,7
AMAZONAS,2010,FEMENINO,DE 26 A 60 AÑOS,20
AMAZONAS,2010,FEMENINO,DE 60 A MÁS AÑOS,3
AMAZONAS,2011,MASCULINO,DE 0 A 5 AÑOS,0
AMAZONAS,2011,MASCULINO,DE 6 A 12 AÑOS,4
AMAZONAS,2011,MASCULINO,DE 13 A 18 AÑOS,60
AMAZONAS,2011,MASCULINO,DE 19 A 25 AÑOS,131
AMAZONAS,2011,MASCULINO,DE 26 A 60 AÑOS,155
AMAZONAS,2011,MASCULINO,DE 60 A MÁS AÑOS,19
AMAZONAS,2011,FEMENINO,DE 0 A 5 AÑOS,0
AMAZONAS,2011,FEMENINO,DE 6 A 12 AÑOS,3
AMAZONAS,2011,FEMENINO,DE 13 A 18 AÑOS,35
AMAZONAS,2011,FEMENINO,DE 19 A 25 AÑOS,57
AMAZONAS,2011,FEMENINO,DE 26 A 60 AÑOS,27
AMAZONAS,2011,FEMENINO,DE 60 A MÁS AÑOS,2
AMAZONAS,2012,MASCULINO,DE 0 A 5 AÑOS,5
AMAZONAS,2012,MASCULINO,DE 6 A 12 AÑOS,4
AMAZONAS,2012,MASCULINO,DE 13 A 18 AÑOS,49
AMAZONAS,2012,MASCULINO,DE 19 A 25 AÑOS,159
AMAZONAS,2012,MASCULINO,DE 26 A 60 AÑOS,119
AMAZONAS,2012,MASCULINO,DE 60 A MÁS AÑOS,29
AMAZONAS,2012,FEMENINO,DE 0 A 5 AÑOS,2
AMAZONAS,2012,FEMENINO,DE 6 A 12 AÑOS,4
AMAZONAS,2012,FEMENINO,DE 13 A 18 AÑOS,10
AMAZONAS,2012,FEMENINO,DE 19 A 25 AÑOS,43
AMAZONAS,2012,FEMENINO,DE 26 A 60 AÑOS,15
AMAZONAS,2012,FEMENINO,DE 60 A MÁS AÑOS,0
AMAZONAS,2013,MASCULINO,DE 0 A 5 AÑOS,6
AMAZONAS,2013,MASCULINO,DE 6 A 12 AÑOS,13
