mes,anio,tipo_siniestro,siniestros
ENERO,2007,ATROPELLO,21
ENERO,2007,ATROPELLO Y FUGA,5
ENERO,2007,CHOQUE,60
ENERO,2007,DESPISTE,46
ENERO,2007,INCENDIO DE VEHÍCULO,0
ENERO,2007,VOLCADURA,4
ENERO,2007,OTROS,6
ENERO,2008,ATROPELLO,11
ENERO,2008,ATROPELLO Y FUGA,7
ENERO,2008,CHOQUE,95
ENERO,2008,DESPISTE,82
ENERO,2008,INCENDIO DE VEHÍCULO,0
ENERO,2008,VOLCADURA,1
ENERO,2008,OTROS,9
ENERO,2009,ATROPELLO,18
ENERO,2009,ATROPELLO Y FUGA,6
ENERO,2009,CHOQUE,100
ENERO,2009,DESPISTE,67
ENERO,2009,INCENDIO DE VEHÍCULO,0
ENERO,2009,VOLCADURA,3
ENERO,2009,OTROS,6
ENERO,2010,ATROPELLO,10
ENERO,2010,ATROPELLO Y FUGA,4
ENERO,2010,CAIDA DE PASAJERO,0
ENERO,2010,CHOQUE,75
ENERO,2010,CHOQUE Y FUGA,0
ENERO,2010,DESPISTE,75
ENERO,2010,INCENDIO DE VEHÍCULO,0
ENERO,2010,VOLCADURA,11
ENERO,2010,ESPECIAL,9
ENERO,2010,OTROS,0
ENERO,2011,ATROPELLO,16
ENERO,2011,ATROPELLO Y FUGA,4
ENERO,2011,CAIDA DE PASAJERO,0
ENERO,2011,CHOQUE,93
ENERO,2011,CHOQUE Y FUGA,0
ENERO,2011,DESPISTE,77
ENERO,2011,INCENDIO DE VEHÍCULO,0
ENERO,2011,VOLCADURA,4
ENERO,2011,ESPECIAL,5
ENERO,2011,OTROS,0
ENERO,2012,ATROPELLO,19
ENERO,2012,ATROPELLO Y FUGA,12
ENERO,2012,CAIDA DE PASAJERO,0
ENERO,2012,CHOQUE,102
ENERO,2012,CHOQUE Y FUGA,0
ENERO,2012,DESPISTE,92
ENERO,2012,INCENDIO DE VEHÍCULO,0
ENERO,2012,VOLCADURA,7
ENERO,2012,ESPECIAL,10
ENERO,2012,OTROS,0
ENERO,2013,ATROPELLO,9
