mes,anio,condicion,victimas
ENERO,2022,MUERTOS,48
ENERO,2022,HERIDOS,666
ENERO,2021,MUERTOS,43
ENERO,2021,HERIDOS,589
ENERO,2020,MUERTOS,76
ENERO,2020,HERIDOS,720
ENERO,2019,MUERTOS,77
ENERO,2019,HERIDOS,726
ENERO,2018,MUERTOS,108
ENERO,2018,HERIDOS,493
ENERO,2017,MUERTOS,77
ENERO,2017,HERIDOS,678
ENERO,2016,MUERTOS,88
ENERO,2016,HERIDOS,681
ENERO,2015,MUERTOS,66
ENERO,2015,HERIDOS,673
ENERO,2014,MUERTOS,78
ENERO,2014,HERIDOS,568
ENERO,2013,MUERTOS,38
ENERO,2013,HERIDOS,463
ENERO,2012,MUERTOS,118
ENERO,2012,HERIDOS,785
ENERO,2011,MUERTOS,73
ENERO,2011,HERIDOS,446
ENERO,2010,MUERTOS,61
ENERO,2010,HERIDOS,555
ENERO,2009,MUERTOS,60
ENERO,2009,HERIDOS,474
ENERO,2008,MUERTOS,75
ENERO,2008,HERIDOS,569
ENERO,2007,MUERTOS,49
ENERO,2007,HERIDOS,428
FEBRERO,2022,MUERTOS,71
FEBRERO,2022,HERIDOS,732
FEBRERO,2021,MUERTOS,56
FEBRERO,2021,HERIDOS,319
FEBRERO,2020,MUERTOS,98
FEBRERO,2020,HERIDOS,957
FEBRERO,2019,MUERTOS,82
FEBRERO,2019,HERIDOS,669
FEBRERO,2018,MUERTOS,89
FEBRERO,2018,HERIDOS,595
FEBRERO,2017,MUERTOS,74
FEBRERO,2017,HERIDOS,623
FEBRERO,2016,MUERTOS,62
FEBRERO,2016,HERIDOS,506
FEBRERO,2015,MUERTOS,57
FEBRERO,2015,HERIDOS,510
FEBRERO,2014,MUERTOS,49
FEBRERO,2014,HERIDOS,505
FEBRERO,2013,MUERTOS,61
FEBRERO,2013,HERIDOS,478
FEBRERO,2012,MUERTOS,80
FEBRERO,2012,HERIDOS,620
FEBRERO,2011,MUERTOS,78
FEBRERO,2011,HERIDOS,466
FEBRERO,2010,MUERTOS,136
FEBRERO,2010,HERIDOS,724
FEBRERO,2009,MUERTOS,71
FEBRERO,2009,HERIDOS,558
FEBRERO,2008,MUERTOS,55
FEBRERO,2008,HERIDOS,487
