departamento,anio,tipo_siniestro,siniestros
AMAZONAS,2008,ATROPELLO,59
AMAZONAS,2008,ATROPELLO Y FUGA,11
AMAZONAS,2008,CHOQUE,61
AMAZONAS,2008,CHOQUE Y FUGA,21
AMAZONAS,2008,VOLCADURA,9
AMAZONAS,2008,CAIDA DE PASAJERO,3
AMAZONAS,2008,INCENDIO,7
AMAZONAS,2008,OTRO,100
AMAZONAS,2009,ATROPELLO,47
AMAZONAS,2009,ATROPELLO Y FUGA,7
AMAZONAS,2009,CHOQUE,64
AMAZONAS,2009,CHOQUE Y FUGA,23
AMAZONAS,2009,VOLCADURA,29
AMAZONAS,2009,CAIDA DE PASAJERO,2
AMAZONAS,2009,INCENDIO,7
AMAZONAS,2009,OTRO,41
AMAZONAS,2010,ATROPELLO,4
AMAZONAS,2010,ATROPELLO Y FUGA,1
AMAZONAS,2010,CHOQUE,43
AMAZONAS,2010,CHOQUE Y FUGA,1
AMAZONAS,2010,VOLCADURA,20
AMAZONAS,2010,CAIDA DE PASAJERO,1
AMAZONAS,2010,INCENDIO,0
AMAZONAS,2010,DESPISTE,25
AMAZONAS,2010,OTRO,0
AMAZONAS,2011,ATROPELLO,38
AMAZONAS,2011,ATROPELLO Y FUGA,8
AMAZONAS,2011,CHOQUE,116
AMAZONAS,2011,CHOQUE Y FUGA,8
AMAZONAS,2011,VOLCADURA,30
AMAZONAS,2011,CAIDA DE PASAJERO,6
AMAZONAS,2011,INCENDIO,0
AMAZONAS,2011,DESPISTE,17
AMAZONAS,2011,OTRO,16
AMAZONAS,2012,ATROPELLO,61
AMAZONAS,2012,ATROPELLO Y FUGA,42
AMAZONAS,2012,CHOQUE,191
AMAZONAS,2012,CHOQUE Y FUGA,57
AMAZONAS,2012,VOLCADURA,38
AMAZONAS,2012,CAIDA DE PASAJERO,5
AMAZONAS,2012,INCENDIO,1
AMAZONAS,2012,DESPISTE,77
AMAZONAS,2012,OTRO,15
AMAZONAS,2013,ATROPELLO,84
AMAZONAS,2013,ATROPELLO Y FUGA,21
AMAZONAS,2013,CHOQUE,233
AMAZONAS,2013,CHOQUE Y FUGA,69
AMAZONAS,2013,VOLCADURA,30
AMAZONAS,2013,CAIDA DE PASAJERO,17
AMAZONAS,2013,INCENDIO,1
AMAZONAS,2013,DESPISTE,68
AMAZONAS,2013,OTRO,19
AMAZONAS,2014,ATROPELLO,73
AMAZONAS,2014,ATROPELLO Y FUGA,17
AMAZONAS,2014,CHOQUE,172
AMAZONAS,2014,CHOQUE Y FUGA,42
AMAZONAS,2014,VOLCADURA,19
AMAZONAS,2014,CAIDA DE PASAJERO,10
AMAZONAS,2014,INCENDIO,2
AMAZONAS,2014,DESPISTE,112
AMAZONAS,2014,OTRO,16
AMAZONAS,2015,ATROPELLO,49
AMAZONAS,2015,ATROPELLO Y FUGA,15
AMAZONAS,2015,CHOQUE,166
AMAZONAS,2015,CHOQUE Y FUGA,24
AMAZONAS,2015,VOLCADURA,11
AMAZONAS,2015,CAIDA DE PASAJERO,5
AMAZONAS,2015,INCENDIO,0
AMAZONAS,2015,DESPISTE,84
AMAZONAS,2015,DESPISTE Y VOLCADURA,9
AMAZONAS,2015,COLISION,1
AMAZONAS,2015,CHOQUE Y ATROPELLO,7
AMAZONAS,2015,OTRO,10
AMAZONAS,2016,ATROPELLO,88
AMAZONAS,2016,ATROPELLO Y FUGA,7
AMAZONAS,2016,CHOQUE,261
AMAZONAS,2016,CHOQUE Y FUGA,57
AMAZONAS,2016,VOLCADURA,43
AMAZONAS,2016,CAIDA DE PASAJERO,6
AMAZONAS,2016,INCENDIO,1
AMAZONAS,2016,DESPISTE,114
AMAZONAS,2016,CHOQUE Y ATROPELLO,5
AMAZONAS,2016,DESPISTE Y VOLCADURA,18
AMAZONAS,2016,COLISION,9
AMAZONAS,2016,OTRO,19
AMAZONAS,2017,ATROPELLO,53
AMAZONAS,2017,ATROPELLO Y FUGA,12
AMAZONAS,2017,CHOQUE,180
AMAZONAS,2017,CHOQUE Y FUGA,27
AMAZONAS,2017,VOLCADURA,19
AMAZONAS,2017,CAIDA DE PASAJERO,6
AMAZONAS,2017,INCENDIO,1
AMAZONAS,2017,DESPISTE,90
AMAZONAS,2017,CHOQUE Y ATROPELLO,2
AMAZONAS,2017,DESPISTE Y VOLCADURA,18
