departamento,anio,vehiculos_involucrados
AMAZONAS,2008,328
AMAZONAS,2009,253
AMAZONAS,2010,113
AMAZONAS,2011,313
AMAZONAS,2012,562
AMAZONAS,2013,704
AMAZONAS,2014,618
AMAZONAS,2015,531
AMAZONAS,2016,906
AMAZONAS,2017,618
AMAZONAS,2018,507
AMAZONAS,2019,725
AMAZONAS,2020,555
AMAZONAS,2021,714
AMAZONAS,2022,764
AMAZONAS,2023,775
AMAZONAS,2024,697
ANCASH,2008,2196
ANCASH,2009,3200
ANCASH,2010,2665
ANCASH,2011,3185
ANCASH,2012,3376
ANCASH,2013,3596
ANCASH,2014,3829
ANCASH,2015,2315
ANCASH,2016,1922
ANCASH,2017,2685
ANCASH,2018,2770
ANCASH,2019,3220
ANCASH,2020,1902
ANCASH,2021,2939
ANCASH,2022,3218
ANCASH,2023,3285
ANCASH,2024,2570
APURIMAC,2008,443
APURIMAC,2009,199
APURIMAC,2010,149
APURIMAC,2011,233
APURIMAC,2012,724
APURIMAC,2013,644
APURIMAC,2014,814
APURIMAC,2015,556
APURIMAC,2016,434
APURIMAC,2017,516
APURIMAC,2018,1060
APURIMAC,2019,1018
APURIMAC,2020,784
APURIMAC,2021,1212
APURIMAC,2022,1105
APURIMAC,2023,915
APURIMAC,2024,849
AREQUIPA,2008,7796
AREQUIPA,2009,7141
AREQUIPA,2010,6619
AREQUIPA,2011,7639
AREQUIPA,2012,7927
AREQUIPA,2013,9027
AREQUIPA,2014,8112
AREQUIPA,2015,7555
AREQUIPA,2016,8014
AREQUIPA,2017,7736
AREQUIPA,2018,7456
AREQUIPA,2019,7745
AREQUIPA,2020,4405
AREQUIPA,2021,6993
AREQUIPA,2022,7714
AREQUIPA,2023,8121
AREQUIPA,2024,7697
AYACUCHO,2008,1031
AYACUCHO,2009,676
AYACUCHO,2010,1526
AYACUCHO,2011,1114
AYACUCHO,2012,1127
AYACUCHO,2013,1318
AYACUCHO,2014,1290
AYACUCHO,2015,1797
AYACUCHO,2016,1323
AYACUCHO,2017,966
AYACUCHO,2018,868
AYACUCHO,2019,742
AYACUCHO,2020,442
AYACUCHO,2021,521
AYACUCHO,2022,493
AYACUCHO,2023,464
AYACUCHO,2024,601
CAJAMARCA,2008,3560
CAJAMARCA,2009,4440
CAJAMARCA,2010,4628
CAJAMARCA,2011,4261
CAJAMARCA,2012,4339
CAJAMARCA,2013,4640
CAJAMARCA,2014,3158
CAJAMARCA,2015,1949
CAJAMARCA,2016,1816
CAJAMARCA,2017,2724
CAJAMARCA,2018,3035
CAJAMARCA,2019,3224
CAJAMARCA,2020,1727
CAJAMARCA,2021,2583
CAJAMARCA,2022,2829
CAJAMARCA,2023,2769
CAJAMARCA,2024,2897
CALLAO,2008,4234
CALLAO,2009,4221
CALLAO,2010,3942
CALLAO,2011,4010
CALLAO,2012,4747
CALLAO,2013,4736
CALLAO,2014,4612
CALLAO,2015,4948
CALLAO,2016,4904
CALLAO,2017,4423
CALLAO,2018,4289
CALLAO,2019,3817
CALLAO,2020,2394
CALLAO,2021,3314
CALLAO,2022,3260
CALLAO,2023,2694
CALLAO,2024,3480
CUSCO,2008,3362
CUSCO,2009,2198
CUSCO,2010,550
CUSCO,2011,640
CUSCO,2012,2226
CUSCO,2013,5096
CUSCO,2014,5627
CUSCO,2015,6659
CUSCO,2016,4537
CUSCO,2017,4173
CUSCO,2018,5256
CUSCO,2019,5473
CUSCO,2020,3142
CUSCO,2021,4189
CUSCO,2022,4715
CUSCO,2023,4195
CUSCO,2024,4569
HUANCAVELICA,2008,49
HUANCAVELICA,2009,62
HUANCAVELICA,2010,89
HUANCAVELICA,2011,55
HUANCAVELICA,2012,193
HUANCAVELICA,2013,105
HUANCAVELICA,2014,239
HUANCAVELICA,2015,292
HUANCAVELICA,2016,347
HUANCAVELICA,2017,252
HUANCAVELICA,2018,286
HUANCAVELICA,2019,330
HUANCAVELICA,2020,202
HUANCAVELICA,2021,317
HUANCAVELICA,2022,256
HUANCAVELICA,2023,279
HUANCAVELICA,2024,244
HUANUCO,2008,565
HUANUCO,2009,887
HUANUCO,2010,988
HUANUCO,2011,1413
HUANUCO,2012,1839
HUANUCO,2013,2630
HUANUCO,2014,6616
HUANUCO,2015,4581
HUANUCO,2016,3961
HUANUCO,2017,3272
HUANUCO,2018,1209
HUANUCO,2019,1619
HUANUCO,2020,1159
HUANUCO,2021,1768
HUANUCO,2022,1809
HUANUCO,2023,1937
HUANUCO,2024,1599
ICA,2008,2189
ICA,2009,2282
ICA,2010,2414
ICA,2011,2239
ICA,2012,2416
ICA,2013,2773
ICA,2014,2394
ICA,2015,1925
ICA,2016,1535
ICA,2017,1704
ICA,2018,1864
ICA,2019,2561
ICA,2020,1481
ICA,2021,2332
ICA,2022,3054
ICA,2023,3242
ICA,2024,3451
JUNIN,2008,2396
JUNIN,2009,2291
JUNIN,2010,2679
JUNIN,2011,2780
JUNIN,2012,4033
JUNIN,2013,4463
JUNIN,2014,3507
JUNIN,2015,3181
JUNIN,2016,3227
JUNIN,2017,3257
JUNIN,2018,3264
JUNIN,2019,4230
JUNIN,2020,3233
JUNIN,2021,4523
JUNIN,2022,5304
JUNIN,2023,5637
JUNIN,2024,4525
LA LIBERTAD,2008,6231
LA LIBERTAD,2009,5506
LA LIBERTAD,2010,5243
LA LIBERTAD,2011,5548
LA LIBERTAD,2012,7149
LA LIBERTAD,2013,7303
LA LIBERTAD,2014,6278
LA LIBERTAD,2015,6704
LA LIBERTAD,2016,6363
LA LIBERTAD,2017,5921
LA LIBERTAD,2018,7392
LA LIBERTAD,2019,7892
LA LIBERTAD,2020,4511
LA LIBERTAD,2021,5987
LA LIBERTAD,2022,5724
LA LIBERTAD,2023,5373
LA LIBERTAD,2024,5003
LAMBAYEQUE,2008,934
LAMBAYEQUE,2009,1446
LAMBAYEQUE,2010,2283
LAMBAYEQUE,2011,3276
LAMBAYEQUE,2012,4552
LAMBAYEQUE,2013,4995
LAMBAYEQUE,2014,5229
LAMBAYEQUE,2015,3859
LAMBAYEQUE,2016,4105
LAMBAYEQUE,2017,4687
LAMBAYEQUE,2018,5077
LAMBAYEQUE,2019,6025
LAMBAYEQUE,2020,3613
LAMBAYEQUE,2021,3934
LAMBAYEQUE,2022,4608
LAMBAYEQUE,2023,4352
LAMBAYEQUE,2024,4985
LIMA,2008,70163
LIMA,2009,69346
LIMA,2010,71695
LIMA,2011,72272
LIMA,2012,73517
LIMA,2013,77825
LIMA,2014,77779
LIMA,2015,75177
LIMA,2016,71639
LIMA,2017,72473
LIMA,2018,72127
LIMA,2019,68448
LIMA,2020,39567
LIMA,2021,48881
LIMA,2022,54924
LIMA,2023,59192
LIMA,2024,57776
LORETO,2008,1480
LORETO,2009,1706
LORETO,2010,1689
LORETO,2011,1231
LORETO,2012,617
LORETO,2013,318
LORETO,2014,568
LORETO,2015,600
LORETO,2016,542
LORETO,2017,673
LORETO,2018,452
LORETO,2019,511
LORETO,2020,311
LORETO,2021,262
LORETO,2022,219
LORETO,2023,342
LORETO,2024,489
MADRE DE DIOS,2008,148
MADRE DE DIOS,2009,100
MADRE DE DIOS,2010,77
MADRE DE DIOS,2011,109
MADRE DE DIOS,2012,190
MADRE DE DIOS,2013,683
MADRE DE DIOS,2014,673
MADRE DE DIOS,2015,710
MADRE DE DIOS,2016,900
MADRE DE DIOS,2017,871
MADRE DE DIOS,2018,693
MADRE DE DIOS,2019,574
MADRE DE DIOS,2020,568
MADRE DE DIOS,2021,841
MADRE DE DIOS,2022,874
MADRE DE DIOS,2023,538
MADRE DE DIOS,2024,493
MOQUEGUA,2008,712
MOQUEGUA,2009,884
MOQUEGUA,2010,870
MOQUEGUA,2011,996
MOQUEGUA,2012,987
MOQUEGUA,2013,1120
MOQUEGUA,2014,819
MOQUEGUA,2015,745
MOQUEGUA,2016,740
MOQUEGUA,2017,793
MOQUEGUA,2018,705
MOQUEGUA,2019,715
MOQUEGUA,2020,441
MOQUEGUA,2021,666
MOQUEGUA,2022,890
MOQUEGUA,2023,970
MOQUEGUA,2024,715
PASCO,2008,93
PASCO,2009,220
PASCO,2010,208
PASCO,2011,229
PASCO,2012,145
PASCO,2013,113
PASCO,2014,503
PASCO,2015,118
