departamento,anio,tipo_vehiculo,vehiculos
AMAZONAS,2008,AUTO,88
AMAZONAS,2008,CAMIONETA,54
AMAZONAS,2008,MICROBUS,11
AMAZONAS,2008,OMNIBUS,23
AMAZONAS,2008,CAMIÓN,33
AMAZONAS,2008,TRAYLER,12
AMAZONAS,2008,VOLQUETE,17
AMAZONAS,2008,BICICLETA,1
AMAZONAS,2008,FURGÓN,0
AMAZONAS,2008,TRICICLO,15
AMAZONAS,2008,MOTOKAR,32
AMAZONAS,2008,MOTO,41
AMAZONAS,2008,OTROS,1
AMAZONAS,2009,AUTO,73
AMAZONAS,2009,CAMIONETA,32
AMAZONAS,2009,MICROBUS,0
AMAZONAS,2009,OMNIBUS,19
AMAZONAS,2009,CAMIÓN,49
AMAZONAS,2009,TRAYLER,4
AMAZONAS,2009,VOLQUETE,8
AMAZONAS,2009,BICICLETA,0
AMAZONAS,2009,FURGÓN,0
AMAZONAS,2009,TRICICLO,11
AMAZONAS,2009,MOTOKAR,37
AMAZONAS,2009,MOTO,20
AMAZONAS,2009,OTROS,0
AMAZONAS,2010,AUTO,23
AMAZONAS,2010,CAMIONETA,35
AMAZONAS,2010,MICROBUS,0
AMAZONAS,2010,OMNIBUS,5
AMAZONAS,2010,CAMIÓN,15
AMAZONAS,2010,TRAYLER,0
AMAZONAS,2010,VOLQUETE,5
AMAZONAS,2010,BICICLETA,0
AMAZONAS,2010,FURGÓN,0
AMAZONAS,2010,TRICICLO,0
AMAZONAS,2010,MOTOKAR,7
AMAZONAS,2010,MOTO,21
AMAZONAS,2010,OTROS,2
AMAZONAS,2011,AUTO,88
AMAZONAS,2011,CAMIONETA,73
AMAZONAS,2011,MICROBUS,0
AMAZONAS,2011,OMNIBUS,3
AMAZONAS,2011,CAMIÓN,49
AMAZONAS,2011,TRAYLER,4
AMAZONAS,2011,VOLQUETE,6
AMAZONAS,2011,BICICLETA,0
AMAZONAS,2011,FURGÓN,3
AMAZONAS,2011,TRICICLO,0
AMAZONAS,2011,MOTOKAR,40
AMAZONAS,2011,MOTO,45
AMAZONAS,2011,OTROS,2
AMAZONAS,2012,AUTO,136
AMAZONAS,2012,CAMIONETA,93
AMAZONAS,2012,MICROBUS,4
AMAZONAS,2012,OMNIBUS,9
AMAZONAS,2012,CAMIÓN,32
AMAZONAS,2012,TRAYLER,2
AMAZONAS,2012,VOLQUETE,5
AMAZONAS,2012,BICICLETA,11
AMAZONAS,2012,FURGÓN,7
AMAZONAS,2012,TRICICLO,1
AMAZONAS,2012,MOTOKAR,112
AMAZONAS,2012,MOTO,128
AMAZONAS,2012,OTROS,22
AMAZONAS,2013,AUTO,157
AMAZONAS,2013,CAMIONETA,116
AMAZONAS,2013,MICROBUS,6
AMAZONAS,2013,OMNIBUS,12
AMAZONAS,2013,CAMIÓN,31
AMAZONAS,2013,TRAYLER,19
AMAZONAS,2013,VOLQUETE,16
AMAZONAS,2013,BICICLETA,5
AMAZONAS,2013,FURGÓN,0
AMAZONAS,2013,TRICICLO,0
AMAZONAS,2013,MOTOKAR,134
AMAZONAS,2013,MOTO,166
AMAZONAS,2013,OTROS,42
AMAZONAS,2014,AUTO,145
AMAZONAS,2014,CAMIONETA,55
AMAZONAS,2014,MICROBUS,31
AMAZONAS,2014,OMNIBUS,18
AMAZONAS,2014,CAMIÓN,52
AMAZONAS,2014,TRAYLER,9
AMAZONAS,2014,VOLQUETE,1
AMAZONAS,2014,BICICLETA,0
AMAZONAS,2014,FURGÓN,0
AMAZONAS,2014,TRICICLO,0
AMAZONAS,2014,MOTOKAR,99
AMAZONAS,2014,MOTO,187
AMAZONAS,2014,OTROS,21
AMAZONAS,2015,AUTOMOVIL,96
AMAZONAS,2015,STATION WAGON,36
AMAZONAS,2015,CAMIONETA PICKUP,55
AMAZONAS,2015,CAMIONETA RURAL,21
AMAZONAS,2015,CAMIONETA PANEL,3
AMAZONAS,2015,OMNIBUS,10
AMAZONAS,2015,CAMION,43
AMAZONAS,2015,REMOLCADOR,5
AMAZONAS,2015,REMOLQUE Y SEMIREMOLQUE,3
AMAZONAS,2015,VEHÍCULO NO IDENTIFICADO,2
AMAZONAS,2015,MOTO,160
AMAZONAS,2015,MOTOKAR,88
AMAZONAS,2015,TRICICLO,0
AMAZONAS,2015,FURGONETA,1
AMAZONAS,2015,BICICLETA,2
AMAZONAS,2015,VEHÍCULO IDENTIFICADO,0
AMAZONAS,2015,OTRO,6
AMAZONAS,2016,AUTOMOVIL,94
AMAZONAS,2016,STATION WAGON,30
AMAZONAS,2016,CAMIONETA PICKUP,91
AMAZONAS,2016,CAMIONETA RURAL,47
AMAZONAS,2016,CAMIONETA PANEL,10
AMAZONAS,2016,OMNIBUS,12
AMAZONAS,2016,CAMION,44
AMAZONAS,2016,REMOLCADOR,14
AMAZONAS,2016,REMOLQUE Y SEMIREMOLQUE,13
AMAZONAS,2016,VEHÍCULO NO IDENTIFICADO,2
AMAZONAS,2016,MOTO,333
AMAZONAS,2016,MOTOKAR,205
AMAZONAS,2016,TRICICLO,1
AMAZONAS,2016,FURGONETA,2
AMAZONAS,2016,BICICLETA,1
AMAZONAS,2016,VEHÍCULO IDENTIFICADO,4
AMAZONAS,2016,OTRO,3
AMAZONAS,2017,AUTOMOVIL,72
AMAZONAS,2017,STATION WAGON,13
AMAZONAS,2017,CAMIONETA PICKUP,57
AMAZONAS,2017,CAMIONETA RURAL,23
AMAZONAS,2017,CAMIONETA PANEL,5
AMAZONAS,2017,OMNIBUS,10
AMAZONAS,2017,CAMION,36
AMAZONAS,2017,REMOLCADOR,11
AMAZONAS,2017,REMOLQUE Y SEMIREMOLQUE,3
AMAZONAS,2017,VEHÍCULO NO IDENTIFICADO,6
AMAZONAS,2017,MOTO,186
AMAZONAS,2017,MOTOKAR,193
AMAZONAS,2017,TRICICLO,0
AMAZONAS,2017,FURGONETA,0
AMAZONAS,2017,BICICLETA,0
AMAZONAS,2017,VEHÍCULO IDENTIFICADO,1
AMAZONAS,2017,OTRO,2
AMAZONAS,2018,AUTOMOVIL,55
AMAZONAS,2018,STATION WAGON,9
AMAZONAS,2018,CAMIONETA PICKUP,33
AMAZONAS,2018,CAMIONETA RURAL,43
AMAZONAS,2018,CAMIONETA PANEL,4
AMAZONAS,2018,OMNIBUS,6
AMAZONAS,2018,CAMION,27
AMAZONAS,2018,REMOLCADOR,4
