ID,Source,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Street,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-377697,Source2,2,2017-02-14 12:45:53,2017-02-14 13:15:43,40.137032,-75.317162,,,0.01,Accident on US-202 Dekalb Pike at Colonial Dr.,Dekalb Pike,Norristown,Montgomery,PA,19401-1818,US,US/Eastern,KLOM,2017-02-14 12:35:00,35.6,31.7,56.0,29.88,10.0,SSW,4.6,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2158669,Source2,2,2019-04-10 17:58:30,2019-04-10 18:27:55,40.348011,-75.955078,,,0.4300000071525574,Accident on exit ramp from US-422 Westbound to PA-12 Eastbound.,Benjamin Franklin Hwy E,Reading,Berks,PA,19610,US,US/Eastern,KRDG,2019-04-10 17:54:00,60.0,60.0,33.0,29.5,10.0,N,7.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-4648675,Source1,2,2022-06-06 16:59:41,2022-06-06 19:01:30,28.385836,-81.504651,28.384762,-81.50609,0.115,Slow traffic on FL-535 from Lake St to Hotel Plaza Blvd due to accident., Palm Pkwy,Orlando,Orange,FL,32836-6416,US,US/Eastern,KISM,2022-06-06 16:56:00,82.0,82.0,69.0,29.81,10.0,ENE,21.0,0.0,Light Rain with Thunder,False,False,True,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-4055030,Source1,2,2022-11-10 16:38:00,2022-11-10 17:09:00,39.07807,-94.594369,39.093006,-94.590786,1.05,Slow traffic on I-35 N from Eaton St/Exit 235 (I-35) to I-670/Broadway Blvd/Exit 2 (I-35) due to accident.,I-35 N,Kansas City,Jackson,MO,64108,US,US/Central,KMKC,2022-11-10 16:54:00,46.0,41.0,79.0,29.11,10.0,N,10.0,0.01,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1214248,Source2,2,2020-12-27 15:12:33,2020-12-27 16:27:42,33.295311,-111.743721,,,0.0,Right lane blocked due to accident on AZ-202-LOOP Eastbound at Santan Village Pkwy.,AZ-202 Loop W,Gilbert,Maricopa,AZ,85295,US,US/Mountain,KIWA,2020-12-27 14:48:00,72.0,72.0,20.0,28.46,10.0,W,6.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-213341,Source2,2,2016-08-10 09:17:49,2016-08-10 10:02:49,42.31498,-71.40074200000002,,,0.0,Accident on MA-126 Concord St near Cherry St.,Cherry St,Framingham,Middlesex,MA,01701-4434,US,US/Eastern,KBED,2016-08-10 08:56:00,75.9,,67.0,30.2,10.0,South,11.5,,Mostly Cloudy,False,False,True,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-6616610,Source1,2,2020-12-08 04:16:29,2020-12-08 07:42:34,36.29689000000001,-86.69918100000002,36.296919,-86.699156,0.002,Incident on GALLATIN PIKE NB near MYATT DR Expect long delays.,Gallatin Pike N,Madison,Davidson,TN,37115,US,US/Central,KBNA,2020-12-08 03:53:00,38.0,38.0,62.0,29.49,10.0,N,3.0,0.0,Cloudy,False,False,True,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Night
A-3140976,Source2,2,2017-12-20 07:32:23,2017-12-20 08:16:48,35.93920900000001,-78.568962,,,0.0,Accident on Townfield Dr at Falls of Neuse Rd.,Village Pines Ln,Raleigh,Wake,NC,27614,US,US/Eastern,KRDU,2017-12-20 07:51:00,52.0,,89.0,30.0,8.0,Calm,,0.02,Light Rain,False,False,True,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-7469563,Source1,3,2019-01-25 17:45:07,2019-01-25 18:14:56,42.389706,-88.974975,42.381191,-88.971301,0.617,At IL-173/W Lane Rd - Accident.,I-39 S,Roscoe,Winnebago,IL,61073,US,US/Central,KJVL,2019-01-25 17:45:00,1.4,-6.2,72.0,30.15,10.0,WSW,3.5,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-810750,Source2,3,2021-11-19 20:38:31,2021-11-19 21:23:30,33.941727,-84.505447,,,0.0,Right lane blocked due to accident on I-75 Southbound at Exit 263 GA-120 Marietta Pkwy.,GA-401 N,Marietta,Cobb,GA,30067,US,US/Eastern,KMGE,2021-11-19 20:56:00,41.0,41.0,65.0,29.21,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-3871376,Source1,2,2022-12-22 14:34:00.000000000,2022-12-22 16:49:11.000000000,34.359378,-118.553952,34.362466999999995,-118.55504,0.222,Accident on Golden State Fwy N - I-5 N from CA-14 (I-5) to Calgrove Blvd (I-5).,Golden State Fwy N,Newhall,Los Angeles,CA,91321,US,US/Pacific,K3A6,2022-12-22 14:51:00,71.0,71.0,26.0,29.18,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1322196,Source2,2,2020-10-01 11:26:23,2020-10-01 12:28:39,30.26346,-97.758797,,,0.0,Accident on Toomey Rd near Jessie St.,Toomey Rd,Austin,Travis,TX,78704,US,US/Central,KATT,2020-10-01 11:51:00,82.0,82.0,29.0,29.47,10.0,VAR,5.0,0.0,Fair,True,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2004291,Source2,3,2019-08-05 17:33:13,2019-08-05 18:02:55,41.825966,-71.514992,,,0.0,Accident on I-295 Northbound at Exits 9 9C-A US-6.,US-6 W,Johnston,Providence,RI,02919,US,US/Eastern,KSFZ,2019-08-05 17:56:00,77.0,77.0,62.0,29.49,10.0,VAR,5.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-4849963,Source1,2,2023-01-14 12:11:00,2023-01-14 13:29:23,34.281777000000005,-118.708987,34.281787,-118.71003600000002,0.06,Incident on CA-118 WB near TAPO CANYON RD Drive with caution.,CA-118,Simi Valley,Ventura,CA,93063,US,US/Pacific,K3A6,2023-01-14 11:51:00,52.0,52.0,86.0,29.06,2.0,ESE,8.0,0.22,Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-985176,Source2,2,2021-06-29 21:59:36,2021-06-29 22:29:14,34.165039,-118.475029,,,0.0,Lane blocked due to accident on US-101 Eastbound at Exit 19B Haskell Ave.,US-101 S,Encino,Los Angeles,CA,91436,US,US/Pacific,KVNY,2021-06-29 21:51:00,68.0,68.0,78.0,29.01,10.0,SE,6.0,0.0,Fair,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-1668450,Source2,2,2020-02-26 17:26:49,2020-02-26 19:00:19,39.8298,-86.121811,,,0.0,Accident on Keystone Ave at Millersville Rd.,N Keystone Ave,Indianapolis,Marion,IN,46205-2842,US,US/Eastern,KEYE,2020-02-26 17:35:00,30.0,19.0,82.0,29.08,2.0,NW,16.0,0.0,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1914986,Source2,2,2019-09-16 13:06:02,2019-09-16 13:50:51,30.255119,-97.692757,,,0.0,Accident on TX-111-LOOP Airport Blvd at Glissman Rd.,Airport Blvd,Austin,Travis,TX,78702-4103,US,US/Central,KATT,2019-09-16 12:51:00,96.0,96.0,33.0,29.3,10.0,N,8.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1322167,Source2,2,2020-10-01 07:47:22,2020-10-01 11:04:06,30.135387,-92.007652,,,0.0,Accident on LA-3073 Ambassador Caffery Pkwy at Bonin Rd.,Bonin Rd,Youngsville,Lafayette,LA,70592-5102,US,US/Central,KLFT,2020-10-01 07:53:00,63.0,63.0,81.0,30.06,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2709436,Source2,3,2018-07-18 07:12:50,2018-07-18 07:42:12,38.76236,-77.679764,,,0.0,Right hand shoulder blocked and Right lane blocked due to accident on VA-215 Vint Hill Rd Westbound near VA-600 Broad Run Church Rd.,Vint Hill Rd,Warrenton,Fauquier,VA,20187-2339,US,US/Eastern,KHWY,2018-07-18 07:15:00,70.0,,61.0,29.96,10.0,NNW,6.9,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1173173,Source2,3,2021-01-31 15:17:23,2021-01-31 16:34:41,41.761791,-87.86790500000002,,,0.0,Lane blocked due to accident on I-55 Stevenson Expy Southbound at US-12 La Grange Rd.,Adlai E Stevenson Expy S,La Grange,Cook,IL,60525,US,US/Central,KMDW,2021-01-31 15:15:00,32.0,21.0,85.0,29.28,1.0,NNE,17.0,0.0,Light Snow,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-887113,Source2,2,2021-09-23 05:22:54,2021-09-23 06:25:06,43.248409,-85.640999,,,0.0,Accident on 19 Mile Rd at Hanna Ave.,19 Mile Rd NE,Cedar Springs,Kent,MI,49319-9635,US,US/Eastern,KGRR,2021-09-23 04:53:00,47.0,42.0,93.0,28.86,6.0,NNW,10.0,0.26,Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
