,missing_count,missing_pct
End_Lng,44046,44.05
End_Lat,44046,44.05
Precipitation(in),28549,28.55
Wind_Chill(F),25925,25.92
Wind_Speed(mph),7272,7.27
Visibility(mi),2281,2.28
Wind_Direction,2245,2.24
Weather_Condition,2230,2.23
Humidity(%),2225,2.22
Temperature(F),2086,2.09
Pressure(in),1793,1.79
Weather_Timestamp,1541,1.54
Sunrise_Sunset,300,0.3
Civil_Twilight,300,0.3
Astronomical_Twilight,300,0.3
Nautical_Twilight,300,0.3
Airport_Code,282,0.28
Street,128,0.13
Timezone,91,0.09
Zipcode,16,0.02
Description,1,0.0
City,3,0.0
Source,0,0.0
ID,0,0.0
Severity,0,0.0
Distance(mi),0,0.0
Start_Lng,0,0.0
Start_Time,0,0.0
End_Time,0,0.0
Start_Lat,0,0.0
County,0,0.0
Amenity,0,0.0
Country,0,0.0
State,0,0.0
Bump,0,0.0
Crossing,0,0.0
Give_Way,0,0.0
Junction,0,0.0
Station,0,0.0
Roundabout,0,0.0
Railway,0,0.0
No_Exit,0,0.0
Turning_Loop,0,0.0
Traffic_Signal,0,0.0
Traffic_Calming,0,0.0
Stop,0,0.0
